quarter,oil_usd,oil_log_diff,D_lib,D_covid,oil_x_Dlib,cpi_level,cpi_log_diff,igrea,ca_pct_gdp,fiscal_balance_pct_gdp,fiscal_proxy
2007Q2,68.5812588288904,0.1716785303191175,0,0,0.0,86.09372937293729,0.0045901719938639,131.92457333333334,-0.1,-0.1,-2.089361327051679
2007Q3,74.95467581998474,0.0888643059665481,0,0,0.0,86.8822882288229,0.0091176144486535,153.30993666666666,-0.1,-0.1,-2.089361327051679
2007Q4,88.56037593984962,0.1668009249615654,0,0,0.0,87.78349834983497,0.0103193434278487,185.34785666666667,-0.1,-0.1,-2.089361327051679
2008Q1,96.93336507936507,0.0903392510736766,0,0,0.0,88.06512651265126,0.0032030776905038,151.35218333333333,-4.6,0.6,-2.4718280971709716
2008Q2,121.39696248196248,0.2250420730757465,0,0,0.0,89.81122112211222,0.0196333095522165,178.56939333333332,-4.6,0.6,-2.4718280971709716
2008Q3,114.398759018759,-0.059375626421974,0,0,-0.0,90.43080308030802,0.0068750270794568,143.25002666666668,-4.6,0.6,-2.4718280971709716
2008Q4,54.66054122460301,-0.7385481490402643,0,0,-0.0,91.0222222222222,0.0065187255514711,-43.95477399999999,-4.6,0.6,-2.4718280971709716
2009Q1,44.434897129186595,-0.2071169500059739,0,0,-0.0,90.85324532453244,-0.0018581609558312,-6.992703999999999,-4.9,-1.6,-1.2697896767960513
2009Q2,58.6979834054834,0.2783802398907196,0,0,0.0,90.43080308030802,-0.0046605645956399,46.66962403333334,-4.9,-1.6,-1.2697896767960513
2009Q3,68.19673881673882,0.1499913737765004,0,0,0.0,90.96589658965895,0.0058997221271877,55.50303433333334,-4.9,-1.6,-1.2697896767960513
2009Q4,74.62930303030303,0.0901364863282649,0,0,0.0,90.57161716171618,-0.004343785917845,75.21403033333333,-4.9,-1.6,-1.2697896767960513
2010Q1,76.24895499618611,0.0214704783275694,0,0,0.0,90.96589658965895,0.004343785917845,63.851592333333336,-4.0,-3.9,-0.0131131464040893
2010Q2,78.50800937950937,0.0291969394702897,0,0,0.0,91.5291529152915,0.0061728591070808,73.78331566666667,-4.0,-3.9,-0.0131131464040893
2010Q3,76.82000721500721,-0.0217355330571438,0,0,-0.0,91.38833883388337,-0.0015396461855923,39.018791,-4.0,-3.9,-0.0131131464040893
2010Q4,86.46211399711399,0.118241212681494,0,0,0.0,92.54301430143016,0.0125556694590232,38.885346,-4.0,-3.9,-0.0131131464040893
2011Q1,104.96109801678108,0.1938834569087939,0,0,0.0,92.402200220022,-0.0015227656361123,-16.23484266666667,-7.3,-6.1,1.1889252739708307
2011Q2,117.36037277537277,0.1116595237416326,0,0,0.0,91.64180418041803,-0.0082632451821185,-15.117149333333332,-7.3,-6.1,1.1889252739708307
2011Q3,113.342284992785,-0.0348369991172381,0,0,-0.0,92.85280528052806,0.0131279552927479,-5.5338183333333335,-7.3,-6.1,1.1889252739708307
2011Q4,109.3961984126984,-0.0354361710961672,0,0,-0.0,92.85280528052805,0.0,18.275503333333333,-7.3,-6.1,1.1889252739708307
2012Q1,118.4861515151515,0.0798199489376978,0,0,0.0,92.84717271727172,-6.066304712337711e-05,-62.70415833333333,-8.8,-6.6,1.46211582405604
2012Q2,108.30563492063492,-0.089838905580069,0,0,-0.0,92.90913091309136,0.0006670912039741,-45.12851633333333,-8.8,-6.6,1.46211582405604
2012Q3,109.61278086520647,0.0119967981338522,0,0,0.0,94.02720316831684,0.0119622072742364,-65.65069166666666,-8.8,-6.6,1.46211582405604
2012Q4,110.08781366459628,0.0043243719087175,0,0,0.0,94.72523828382838,0.0073963366232749,-52.98328966666666,-8.8,-6.6,1.46211582405604
2013Q1,112.49484210526316,0.021629019282793,0,0,0.0,95.02925588558855,0.0032043284478868,-69.783687,-6.8,-4.7,0.4239917337322454
2013Q2,102.5754393939394,-0.0923088506853604,0,0,-0.0,95.19667819581956,0.0017602474054756,-58.15838,-6.8,-4.7,0.4239917337322454
2013Q3,110.27004545454548,0.0723337940270028,0,0,0.0,95.67632756875686,0.0050258587446423,-22.309455833333335,-6.8,-4.7,0.4239917337322454
2013Q4,109.20839613526567,-0.0096743679411694,0,0,-0.0,95.6496996259626,-0.0002783514962034,15.6806449,-6.8,-4.7,0.4239917337322454
2014Q1,108.16640198982304,-0.0095871475030202,0,0,-0.0,95.44378437843784,-0.0021551266208428,-15.861308800000002,-5.5,-4.8,0.4786298437492871
2014Q2,109.69652236652236,0.0140468649331166,0,0,0.0,95.24664466446644,-0.0020676421485257,-48.203417,-5.5,-4.8,0.4786298437492871
2014Q3,101.82256854256856,-0.0744858910078658,0,0,-0.0,95.80990099009904,0.0058962434972817,-51.992526,-5.5,-4.8,0.4786298437492871
2014Q4,76.39937070938215,-0.2872573151125515,0,0,-0.0,96.73927392739276,0.0096534317006424,-35.702778,-5.5,-4.8,0.4786298437492871
2015Q1,53.91348484848485,-0.3485938300081712,0,0,-0.0,96.88008800880088,0.0014545457109935,-93.836696,-2.0,-4.6,0.3693536237152033
2015Q2,61.69233766233766,0.1347791068611612,0,0,0.0,97.04906490649068,0.0017426667204318,-90.97619566666668,-2.0,-4.6,0.3693536237152033
2015Q3,50.233162055335974,-0.2054843288930787,0,0,-0.0,97.61232123212324,0.0057870531876762,-46.85943366666667,-2.0,-4.6,0.3693536237152033
2015Q4,43.5676911976912,-0.1423595592278208,0,0,-0.0,97.66864686468648,0.0005768676248809,-91.31093833333334,-2.0,-4.6,0.3693536237152033
2016Q1,33.69715151515152,-0.256902539069507,1,0,-0.256902539069507,97.83762376237624,0.0017286089006169,-146.17508999999998,-3.8,-4.5,0.3147155136981617
2016Q2,45.52432900432901,0.3008335774328867,1,0,0.3008335774328867,98.90781078107813,0.0108790079539575,-92.57668133333334,-3.8,-4.5,0.3147155136981617
2016Q3,45.787558504297635,0.0057655193934236,1,0,0.0057655193934236,99.41474147414743,0.0051121951723356,-74.39214299999999,-3.8,-4.5,0.3147155136981617
2016Q4,49.188323953823954,0.0716438714829243,1,0,0.0716438714829243,99.41474147414743,0.0,-44.256811666666664,-3.8,-4.5,0.3147155136981617
2017Q1,53.67843236714975,0.0873550116202954,1,0,0.0873550116202954,99.07678767876789,-0.0034052246298399,-51.69052466666667,-3.2,-3.3,-0.3409418065063404
2017Q2,49.66753276471812,-0.0776598336013676,1,0,-0.0776598336013676,99.21760176017604,0.0014202530437348,-42.53855866666667,-3.2,-3.3,-0.3409418065063404
2017Q3,52.11192546583851,0.0480423629230672,1,0,0.0480423629230672,99.61188118811884,0.0039660108642429,-31.798039,-3.2,-3.3,-0.3409418065063404
