,ca_pct_gdp,fiscal_balance_pct_gdp,gdp_growth,inflation_cpi
2000,-3.4,-2.0,1.6,1.8
2001,1.9,-3.8,7.6,0.6
2002,3.2,-4.4,3.3,2.8
2003,2.8,-3.7,6.3,1.1
2004,1.5,-3.3,4.8,1.5
2005,1.6,-5.5,3.0,1.1
2006,1.9,-1.8,7.8,3.2
2007,-0.1,-0.1,2.7,2.0
2008,-4.6,0.6,5.9,3.8
2009,-4.9,-1.6,4.2,-0.2
2010,-4.0,-3.9,3.8,1.0
2011,-7.3,-6.1,5.2,1.0
2012,-8.8,-6.6,3.0,1.3
2013,-6.8,-4.7,4.5,1.8
2014,-5.5,-4.8,2.7,0.5
2015,-2.0,-4.6,4.3,1.6
2016,-3.8,-4.5,0.5,1.5
2017,-3.2,-3.3,5.1,0.8
2018,-4.9,-3.5,3.1,1.6
2019,-3.4,-3.8,2.9,0.2
2020,-1.2,-7.1,-7.2,0.7
2021,-2.3,-5.9,8.2,1.4
2022,-3.5,-5.4,1.8,6.6
2023,-1.0,-4.4,3.7,6.1
2024,-1.2,-3.9,3.8,0.9
